source,url,path,sha256,bytes,retrieved_utc,http_status
cbp_metadata,https://api.census.gov/data/2019/cbp/groups.json,data/raw/audit/cbp_metadata/2019/groups.json,90d4402f842648601ebc55196500677bece1a675bdc6617c6651a7583c47f33c,349,2026-09-04T14:05:56+00:00,200
cbp_metadata,https://api.census.gov/data/2019/cbp/groups/CB1900CBP.json,data/raw/audit/cbp_metadata/2019/groups_CB1900CBP.json,ec34d1aa27377f49ebce59ef45dd983b5fbb3270d4efad696bf3d1a03783b4d7,9752,2026-09-04T14:05:56+00:00,200
cbp_metadata,https://api.census.gov/data/2019/cbp/variables/LFO.json,data/raw/audit/cbp_metadata/2019/lfo.json,8ece7ddc9c1bfd50592f15f9f9ffe93ff2ee01243ad8a1ce8e4747c5a4ca02bc,398,2026-09-04T14:05:56+00:00,200
cbp_metadata,https://api.census.gov/data/2019/cbp/variables.json,data/raw/audit/cbp_metadata/2019/variables.json,3faf585d1fcd9fba8f4e5bbce2457c791dbcd6b7e4532e3a5659ab80a9f51baa,376317,2026-09-04T14:05:55+00:00,200
cbp_metadata,https://api.census.gov/data/2020/cbp,data/raw/audit/cbp_metadata/2020/data_113310.json,e56026481e27665e6f1b08ab158d5b9bc28a4ba6ceba282fb70ccb80b051aba9,19516,2026-09-04T14:05:58+00:00,200
cbp_metadata,https://api.census.gov/data/2020/cbp,data/raw/audit/cbp_metadata/2020/data_113310_attempt1.json,e56026481e27665e6f1b08ab158d5b9bc28a4ba6ceba282fb70ccb80b051aba9,19516,2026-09-04T14:05:58+00:00,200
cbp_metadata,https://api.census.gov/data/2020/cbp.json,data/raw/audit/cbp_metadata/2020/dataset.json,38b4cbe7d2e40298a4e4a5347de42fcd3bf939d52728cf0c746979e64a8bf58c,2851,2026-09-04T14:05:57+00:00,200
cbp_metadata,https://api.census.gov/data/2020/cbp/variables/EMPSZES.json,data/raw/audit/cbp_metadata/2020/empszes.json,fb0aa53c5b6e3438d5cd47fe2dc0b20ab4744d5cb06015b8ba9a53f691a55624,413,2026-09-04T14:05:57+00:00,200
cbp_metadata,https://api.census.gov/data/2020/cbp/geography.json,data/raw/audit/cbp_metadata/2020/geography.json,fc0619ee1e93e6f0df69049be0889f05dddbdf8da353bcd2540607d5c4fdd25e,1090,2026-09-04T14:05:57+00:00,200
cbp_metadata,https://api.census.gov/data/2020/cbp/groups.json,data/raw/audit/cbp_metadata/2020/groups.json,da0508444727407cb6f7904dbe82f4f8617ba8c5fff0ba1605ffad98f21fe44c,349,2026-09-04T14:05:57+00:00,200
cbp_metadata,https://api.census.gov/data/2020/cbp/groups/CB2000CBP.json,data/raw/audit/cbp_metadata/2020/groups_CB2000CBP.json,7d5973369c1cd3296af9ccf256ae2f83364c50e3d609fecd7e85c12016f86c11,9752,2026-09-04T14:05:57+00:00,200
cbp_metadata,https://api.census.gov/data/2020/cbp/variables/LFO.json,data/raw/audit/cbp_metadata/2020/lfo.json,06ebdcace0c7214a8416fb42beb0c01436d0cecdf909ba2b52199e17fff0774a,398,2026-09-04T14:05:57+00:00,200
cbp_metadata,https://api.census.gov/data/2020/cbp/variables.json,data/raw/audit/cbp_metadata/2020/variables.json,9daa48a84de83c439025afdc030686ed260e9115e5bf5d4c6456ca27d49bcbfb,376317,2026-09-04T14:05:57+00:00,200
cbp_metadata,https://api.census.gov/data/2021/cbp,data/raw/audit/cbp_metadata/2021/data_113310.json,10b1079e3a11dafb55827541b0694d0582b48df713fc4d9fb82c5c1fadbf1815,19851,2026-09-04T14:05:59+00:00,200
cbp_metadata,https://api.census.gov/data/2021/cbp,data/raw/audit/cbp_metadata/2021/data_113310_attempt1.json,10b1079e3a11dafb55827541b0694d0582b48df713fc4d9fb82c5c1fadbf1815,19851,2026-09-04T14:05:59+00:00,200
cbp_metadata,https://api.census.gov/data/2021/cbp.json,data/raw/audit/cbp_metadata/2021/dataset.json,16f382688ad3b8d169728c2d2cfd9b984255537d6a452138253679f170dc1883,2862,2026-09-04T14:05:58+00:00,200
cbp_metadata,https://api.census.gov/data/2021/cbp/variables/EMPSZES.json,data/raw/audit/cbp_metadata/2021/empszes.json,bf940bc50e950124aa39041d2775e92aae29624f9947d8776044a911814d4930,413,2026-09-04T14:05:58+00:00,200
cbp_metadata,https://api.census.gov/data/2021/cbp/geography.json,data/raw/audit/cbp_metadata/2021/geography.json,fc0619ee1e93e6f0df69049be0889f05dddbdf8da353bcd2540607d5c4fdd25e,1090,2026-09-04T14:05:58+00:00,200
cbp_metadata,https://api.census.gov/data/2021/cbp/groups.json,data/raw/audit/cbp_metadata/2021/groups.json,322ef5800a1140ff5da9ff84c1f420a5edca9ac5a13c51fc2f94ad1ca54cd565,349,2026-09-04T14:05:58+00:00,200
cbp_metadata,https://api.census.gov/data/2021/cbp/groups/CB2100CBP.json,data/raw/audit/cbp_metadata/2021/groups_CB2100CBP.json,517172f571923ed595ce53d5b02d20fa02552c02ba043ee6ce7a72da6e3e3e2b,9752,2026-09-04T14:05:58+00:00,200
cbp_metadata,https://api.census.gov/data/2021/cbp/variables/LFO.json,data/raw/audit/cbp_metadata/2021/lfo.json,1ea7cf849cd54a703c0eab6397f1a0dc17ddc1b1ef81353b63e52e86cb13736f,398,2026-09-04T14:05:58+00:00,200
cbp_metadata,https://api.census.gov/data/2021/cbp/variables.json,data/raw/audit/cbp_metadata/2021/variables.json,20cf6f8f0eedf030828ab049ad10d503ee06d04e1e4e0c5475029fe9f9cf87e6,384986,2026-09-04T14:05:58+00:00,200
cbp_metadata,https://api.census.gov/data/2022/cbp,data/raw/audit/cbp_metadata/2022/data_113310.json,d38e1a0bbfe2d8db101a0a46eebdf02815c7c53f0119d3dd8e95210acc0438c1,19195,2026-09-04T14:05:59+00:00,200
cbp_metadata,https://api.census.gov/data/2022/cbp,data/raw/audit/cbp_metadata/2022/data_113310_attempt1.json,d38e1a0bbfe2d8db101a0a46eebdf02815c7c53f0119d3dd8e95210acc0438c1,19195,2026-09-04T14:05:59+00:00,200
